ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1060002636,1704188266,1704188266322,1704188266,1704188266329,0,0,0,1,4,0,1057320623,0,6,0.02,0.0,2077.958,0.0,0.0,2077.958,0.0,XAUUSDm,[so at 0.00% ],
1060433440,1704201446,1704201446853,1704201446,1704201446855,0,0,0,0,4,0,1060433440,0,1,0.02,0.0,0.0,0.0,0.0,2065.74,0.0,XAUUSDm,,
1060433916,1704201466,1704201466693,1704201466,1704201466694,0,0,0,0,4,0,1060433916,0,1,0.02,0.0,0.0,0.0,0.0,2065.805,0.0,XAUUSDm,,
1060436697,1704201547,1704201547457,1704201547,1704201547459,0,0,0,0,4,0,1060436697,0,1,0.02,0.0,0.0,0.0,0.0,2065.977,0.0,XAUUSDm,,
1060460057,1704202153,1704202153625,1704202153,1704202153627,0,0,0,0,4,0,1060460057,0,1,0.02,0.0,0.0,0.0,0.0,2067.499,0.0,XAUUSDm,,
1060514532,1704203501,1704203501650,1704203501,1704203501652,0,0,0,0,4,0,1060514532,0,1,0.02,0.0,0.0,0.0,0.0,2066.778,0.0,XAUUSDm,,
1060553328,1704204519,1704204519281,1704204519,1704204519286,0,0,0,0,4,0,1060553328,0,1,0.02,0.0,0.0,0.0,0.0,2066.557,0.0,XAUUSDm,,
1060653522,1704206534,1704206534900,1704206535,1704206535007,0,1,0,1,4,0,1060460057,0,6,0.02,0.0,2062.967,0.0,0.0,2062.967,0.0,XAUUSDm,[so at 0.00% ],
1060653622,1704206535,1704206535008,1704206535,1704206535167,0,1,0,1,4,0,1060514532,0,6,0.02,0.0,2062.798,0.0,0.0,2062.798,0.0,XAUUSDm,[so at 0.00% ],
1060653646,1704206535,1704206535168,1704206535,1704206535195,0,1,0,1,4,0,1060553328,0,6,0.02,0.0,2062.83,0.0,0.0,2062.83,0.0,XAUUSDm,[so at 0.00% ],
1060653653,1704206535,1704206535195,1704206535,1704206535206,0,1,0,1,4,0,1060436697,0,6,0.02,0.0,2062.83,0.0,0.0,2062.83,0.0,XAUUSDm,[so at 0.00% ],
1060653659,1704206535,1704206535207,1704206535,1704206535226,0,1,0,1,4,0,1060433916,0,6,0.02,0.0,2062.83,0.0,0.0,2062.83,0.0,XAUUSDm,[so at 0.00% ],
1060653669,1704206535,1704206535227,1704206535,1704206535229,0,1,0,1,4,0,1060433440,0,6,0.02,0.0,2062.83,0.0,0.0,2062.83,0.0,XAUUSDm,[so at 0.00% ],
1060808758,1704209063,1704209063542,1704209063,1704209063544,0,0,0,0,4,0,1060808758,0,1,0.02,0.0,0.0,0.0,0.0,2064.99,0.0,XAUUSDm,,
1060809559,1704209084,1704209084228,1704209084,1704209084229,0,0,0,0,4,0,1060809559,0,1,0.02,0.0,0.0,0.0,0.0,2064.972,0.0,XAUUSDm,,
