Metric,Value
Total Trades,786.0
Total Profit,349.32000000000005
Win Rate (%),16.539440203562343
Average Win,18.171307692307696
Average Loss,7.6538022813688205
Expectancy,-3.3824736597683787
Max Drawdown,-528.8399999999999
Risk-Reward Ratio,2.374154312365893
