Metric,Value
Total Trades,488.0
Total Profit,-3.849999999999966
Win Rate (%),14.549180327868852
Average Win,18.817887323943662
Average Loss,7.745202312138727
Expectancy,-3.8804905003316588
Max Drawdown,-528.84
Risk-Reward Ratio,2.4296185645727015
